ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.023622991470846656,1.0,0.0196510944460802,0.0037854117839999993,2381.652484567881,408550.3163313102,37.57079962431866,5.19126995090482,121196.93847601188,199896.43208645325,101325.0,1.424
0.023584568260016956,1.0,0.019627509877820186,0.0037854117839999993,2376.938013520404,407718.1460232984,37.540110135755185,5.1850395671035905,121102.37255345531,199735.93759123445,101325.0,1.425
0.0235462246098944,1.0,0.01960396365321029,0.0037854117839999993,2372.234986271213,406888.04287595674,37.50945942323829,5.178819312623109,121007.92616409196,199575.6494836115,101325.0,1.426
0.023507960318848723,1.0,0.019580455692891442,0.0037854117839999993,2367.543369822544,406060.0007943428,37.47884741921351,5.172609166498924,120913.59909882308,199415.56739448386,101325.0,1.427
0.023469775185858095,1.0,0.019556985917705584,0.0037854117839999993,2362.863131287235,405234.01370441995,37.44827405627854,5.166409107819692,120819.39114902451,199255.69095561016,101325.0,1.428
0.023431669010506945,1.0,0.019533554248695077,0.0037854117839999993,2358.194237888303,404410.07555297436,37.417739267182725,5.160219115727009,120725.30210654522,199096.01979960545,101325.0,1.429
0.023393641592983773,1.0,0.019510160607102093,0.0037854117839999993,2353.5366569585217,403588.1803075341,37.387242984826706,5.15403916941526,120631.33176370607,198936.55355993903,101325.0,1.43
0.023355692734079146,1.0,0.019486804914368015,0.0037854117839999993,2348.890355939999,402768.32195628755,37.35678514226198,5.147869248131452,120537.4799132984,198777.2918709316,101325.0,1.431
0.023317822235183437,1.0,0.01946348709213283,0.0037854117839999993,2344.255302383762,401950.49450800114,37.326365672690414,5.141709331175061,120443.74634858279,198618.23436775315,101325.0,1.432
0.02328002989828484,1.0,0.019440207062234545,0.0037854117839999993,2339.6314639493357,401134.6919919408,37.295984509463956,5.135559397897872,120350.13086328762,198459.38068642013,101325.0,1.433
0.023242315525967207,1.0,0.01941696474670858,0.0037854117839999993,2335.018808404334,400320.90845779015,37.2656415860841,5.129419427703821,120256.63325160793,198300.73046379353,101325.0,1.434
0.02320467892140799,1.0,0.01939376006778717,0.0037854117839999993,2330.417303624041,399509.1379755716,37.23533683620157,5.123289400048842,120163.25330820397,198142.28333757588,101325.0,1.435
0.02316711988837615,1.0,0.019370592947898797,0.0037854117839999993,2325.8269175910027,398699.37463556504,37.205070193615775,5.117169294440703,120069.99082819992,197984.03894630933,101325.0,1.436
0.023129638231230064,1.0,0.019347463309667568,0.0037854117839999993,2321.247618394617,397891.61254823074,37.17484159227453,5.111059090438857,119976.84560718265,197825.9969293729,101325.0,1.437
0.023092233754915478,1.0,0.01932437107591265,0.0037854117839999993,2316.6793742307245,397085.8458441289,37.1446509662736,5.104958767654287,119883.81744120034,197668.15692698007,101325.0,1.438
0.023054906264963457,1.0,0.019301316169647687,0.0037854117839999993,2312.1221534012047,396282.0686738416,37.11449824985622,5.098868305749346,119790.90612676123,197510.51858017658,101325.0,1.439
0.02301765556748834,1.0,0.019278298514080198,0.0037854117839999993,2307.5759243135703,395480.2752078956,37.08438337741281,5.09278768443761,119698.11146083236,197353.081530838,101325.0,1.44
0.022980481469185708,1.0,0.01925531803261101,0.0037854117839999993,2303.040655480564,394680.45963668224,37.054306283480464,5.086716883483716,119605.43324083819,197195.845421667,101325.0,1.441
0.02294338377733027,1.0,0.01923237464883368,0.0037854117839999993,2298.5163155197597,393882.6161703821,37.0242669027426,5.080655882703218,119512.87126465945,197038.80989619152,101325.0,1.442
0.022906362299773993,1.0,0.019209468286533908,0.0037854117839999993,2294.002873153161,393086.73903888644,36.994265170028505,5.074604661962428,119420.42533063174,196881.97459876208,101325.0,1.443
