isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-0.2653511848309073,0.2323358486215764,0.0037854117839999993,42264.72195640296,4653489.820878883,261.1440285206149,61.37663796673394,181912.18534356623,257730.7699882448,1.25
-0.2622209433642371,0.22971363918793405,0.0037854117839999993,41794.76973844945,4599104.234800889,261.01426357852165,60.68392351893574,181942.91765260044,257730.76998837225,1.26
-0.25913122569581026,0.22712232693097595,0.0037854117839999993,41330.16133809864,4545410.603966551,260.88571635459306,59.99937124171429,181973.13270156467,257730.76998849728,1.27
-0.2560814076773408,0.22456151285420253,0.0037854117839999993,40870.83323800381,4492398.542100739,260.75837757536834,59.32287573134542,182002.84064054806,257730.76998861984,1.28
-0.2530708775255132,0.2220308040789474,0.0037854117839999993,40416.72273785105,4440057.863625367,260.63223798441413,58.6543332002655,182032.05138814924,257730.76998873972,1.29
-0.25009903550418666,0.21952981372390554,0.0037854117839999993,39967.76794262219,4388378.578557688,260.5072883441112,57.993641445246155,182060.77463759962,257730.7699888572,1.3
-0.24716529361660616,0.21705816078773948,0.0037854117839999993,39523.907751039325,4337350.887570118,260.383519437364,57.34069981638212,182089.0198626977,257730.7699889724,1.31
-0.24426907530726402,0.21461547003466686,0.0037854117839999993,39085.08184418901,4286965.1772056045,260.2609220692353,56.695409186866655,182116.79632356227,257730.76998908524,1.32
-0.24140981517305432,0.2122013718829363,0.0037854117839999993,38651.23067432373,4237212.015242791,260.13948706850846,56.05767192352998,182144.11307221043,257730.76998919572,1.33
-0.2385869586833878,0.20981550229610244,0.0037854117839999993,38222.29545383864,4188082.1462055366,260.0192052891843,55.42739185811719,182170.97895796743,257730.76998930387,1.34
-0.23579996190894595,0.20745750267701296,0.0037854117839999993,37798.218144420825,4139566.4870114224,259.90006761190784,54.80447425928259,182197.4026327128,257730.7699894098,1.35
-0.23304829125876036,0.20512701976442535,0.0037854117839999993,37378.941446369055,4091656.1227543014,259.78206494533526,54.18882580527873,182223.3925559698,257730.76998951356,1.36
-0.23033142322532713,0.20282370553217208,0.0037854117839999993,36964.40878808164,4044342.3026159573,259.66518822743734,53.58035455731865,182248.95699984295,257730.7699896153,1.37
-0.2276488441374644,0.20054721709079742,0.0037854117839999993,36554.56431570978,3997616.435902302,259.5494284267464,52.9789699335911,182274.10405380873,257730.7699897149,1.3800000000000001
-0.2250000499206456,0.19829721659159097,0.0037854117839999993,36149.352882974374,3951470.0881995982,259.4347765435453,52.384582683908874,182298.8416293652,257730.76998981237,1.3900000000000001
-0.22238454586454123,0.19607337113294557,0.0037854117839999993,35748.72004114363,3905894.977646465,259.32122361100414,51.797104864971175,182323.177464545,257730.76998990797,1.4000000000000001
-0.21980184639751965,0.19387535266897038,0.0037854117839999993,35352.612029168995,3860882.9713175343,259.2087606962623,51.21644981622174,182347.11912829525,257730.76999000146,1.41
-0.21725147486786245,0.19170283792029175,0.0037854117839999993,34960.975763977454,3816426.0817148727,259.09737890146334,50.64253213628496,182370.67402473144,257730.7699900932,1.42
-0.2147329633314635,0.18955550828697712,0.0037854117839999993,34573.75883091722,3772516.463363305,258.9870693647394,50.07526765996276,182393.84939726657,257730.76999018269,1.43
-0.21224585234578555,0.18743304976351927,0.0037854117839999993,34190.90947435497,3729146.409506092,258.87782326115035,49.51457343577586,182416.6523326222,257730.76999027046,1.44
-0.20978969076986118,0.18533515285582067,0.0037854117839999993,33812.37658842185,3686308.3488974096,258.7696318035778,48.96036770403331,182439.08976472367,257730.7699903564,1.45
-0.2073640355701315,0.18326151250011935,0.0037854117839999993,33438.10970790604,3643994.84268832,258.6624862435762,48.41256987541501,182461.1684784838,257730.76999044063,1.46
-0.20496845163191965,0.18121182798380014,0.0037854117839999993,33068.05899928964,3602198.5814029956,258.5563778721824,47.871100510052244,182482.89511347923,257730.76999052303,1.47
-0.202602511576355,0.1791858028680366,0.0037854117839999993,32702.17525192737,3560912.3820021045,258.4512980206853,47.33588129709183,182504.27616752236,257730.7699906036,1.48
-0.20026579558255703,0.17718314491221102,0.0037854117839999993,32340.40986936493,3520129.185030401,258.3472380613572,46.806835034730014,182525.3180001328,257730.76999068234,1.49
-0.19795789121490617,0.17520356600006196,0.0037854117839999993,31982.71486079459,3479842.0518456325,258.24418940814826,46.28388561070269,182546.02683591086,257730.76999075958,1.5
-0.19567839325523073,0.17324678206750965,0.0037854117839999993,31629.042832645817,3440044.161926035,258.1421435173443,45.766957983218894,182566.40876781667,257730.76999083516,1.51
